[23апр.2024 00:01:45.282] [Worker-Main-41/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-95, -5], pos: MutableBlockPos{x=-1510, y=53, z=-65}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.518] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1521, y=57, z=-46}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.518] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1521, y=58, z=-46}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.519] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1521, y=58, z=-46}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.519] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1521, y=59, z=-46}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.519] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1521, y=59, z=-46}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.519] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1521, y=60, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.519] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1521, y=60, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.519] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1521, y=60, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.520] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1521, y=61, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.520] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1521, y=61, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.520] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1521, y=62, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.520] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1521, y=62, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.520] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1521, y=63, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.521] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1521, y=63, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.521] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1522, y=64, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.521] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1522, y=64, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.521] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1522, y=65, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.521] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1522, y=65, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.522] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1522, y=66, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.522] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1522, y=66, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.522] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1522, y=67, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.522] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1522, y=67, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.522] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1522, y=68, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.522] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1522, y=68, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.522] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1522, y=69, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.523] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1522, y=69, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.523] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1522, y=70, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.523] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1522, y=70, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.523] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1522, y=71, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.524] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1522, y=71, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.524] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1522, y=72, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.525] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1522, y=72, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.525] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=73, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.525] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=73, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.525] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=74, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.525] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=74, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.525] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=75, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.525] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=76, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.526] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=76, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.526] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=77, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.526] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=77, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.526] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=78, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.526] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=78, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.527] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=79, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.527] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=79, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.527] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=80, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.527] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=81, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.527] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=81, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.527] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=82, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.527] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=82, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.528] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=83, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.528] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=84, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.528] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=84, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.528] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=85, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.528] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=85, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.529] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=86, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.529] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=86, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.530] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=87, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.530] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=88, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.530] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=88, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.530] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=89, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.532] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=90, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.546] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=90, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.546] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=91, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.547] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=91, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.547] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=92, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.547] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=93, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.547] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=93, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.551] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=94, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.551] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=95, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.552] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=95, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.552] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=96, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.552] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=97, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.552] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=97, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.553] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=98, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.553] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-96, -3], pos: BlockPos{x=-1523, y=98, z=-47}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.565] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-92, -2], pos: BlockPos{x=-1472, y=42, z=-24}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.580] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-92, -2], pos: BlockPos{x=-1472, y=42, z=-23}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.580] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-92, -2], pos: BlockPos{x=-1472, y=42, z=-23}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.581] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-92, -2], pos: BlockPos{x=-1472, y=42, z=-23}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.581] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-92, -2], pos: BlockPos{x=-1472, y=42, z=-23}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.581] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-92, -2], pos: BlockPos{x=-1472, y=43, z=-23}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.581] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-92, -2], pos: BlockPos{x=-1472, y=43, z=-23}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.582] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-92, -2], pos: BlockPos{x=-1472, y=43, z=-23}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.582] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-92, -2], pos: BlockPos{x=-1472, y=43, z=-23}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.582] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-92, -2], pos: BlockPos{x=-1472, y=43, z=-23}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.582] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-92, -2], pos: BlockPos{x=-1472, y=44, z=-23}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.582] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-92, -2], pos: BlockPos{x=-1472, y=44, z=-23}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.583] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-92, -2], pos: BlockPos{x=-1471, y=44, z=-23}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.583] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-92, -2], pos: BlockPos{x=-1471, y=44, z=-23}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.583] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-92, -2], pos: BlockPos{x=-1471, y=44, z=-23}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.583] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-92, -2], pos: BlockPos{x=-1471, y=45, z=-23}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.584] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-92, -2], pos: BlockPos{x=-1471, y=45, z=-23}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.585] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-92, -2], pos: BlockPos{x=-1471, y=45, z=-23}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.585] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-92, -2], pos: BlockPos{x=-1471, y=45, z=-23}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
[23апр.2024 00:01:45.585] [Worker-Main-21/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-92, -2], pos: BlockPos{x=-1471, y=46, z=-22}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / biomesoplenty:flesh_tendon]
